name	type	units	sampling_frequency	description	low_cutoff	high_cutoff	notch	software_filters	status	status_description
FZ	EEG	uV	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Cz	EEG	uV	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P3	EEG	uV	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PZ	EEG	uV	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
P4	EEG	uV	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO7	EEG	uV	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
PO8	EEG	uV	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Oz	EEG	uV	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
Timestamp	MISC	n/a	256	n/a	n/a	n/a	n/a	n/a	n/a	n/a
